sb_name,b_xelo_n,b_pppg_n,b_ppag_n,b_netrating_n,sos,current_hfa,league_current_ppg
American,1356.8617,69.723495,74.696564,-4.9730754,-5.856153,48.353065,148.89412
Presbyterian,1352.5121,68.905495,73.991493,-5.0859923,-5.9354634,61.34763,148.89412
UNC Asheville,1352.0583,69.143562,74.257912,-5.1143441,-4.9835763,67.487488,148.89412
Colgate,1352.036,73.757439,79.108742,-5.3513074,-5.2725668,52.081272,148.89412
Omaha,1349.5068,70.783119,76.07386,-5.2907376,-5.8061171,53.51125,148.89412
UTEP,1348.9896,68.478218,73.666313,-5.1880922,-2.2147954,48.308434,148.89412
UNC Greensboro,1348.9821,75.281105,80.824455,-5.5433455,-4.5825534,55.842697,148.89412
Milwaukee,1346.9401,72.082855,77.53508,-5.4522319,-2.0333686,38.38229,148.89412
Central Michigan,1346.559,71.617859,77.059372,-5.4415097,-3.2695892,53.511566,148.89412
Ball St.,1340.5165,65.314384,70.623695,-5.3093128,-4.705708,56.277729,148.89412
Lehigh,1339.4188,71.51796,77.214157,-5.6962047,-6.3984909,40.308193,148.89412
Denver,1339.3158,76.650177,82.633041,-5.9828601,-4.8270445,68.225586,148.89412
North Dakota,1336.7822,72.155388,77.983757,-5.8283691,-5.0706286,61.034401,148.89412
Southern Utah,1335.3768,74.973953,81.013458,-6.0395117,-2.9802203,59.775124,148.89412
Abilene Christian,1335.2742,69.058723,74.765129,-5.7064066,-3.2884858,65.719582,148.89412
Hampton,1334.8628,69.066895,74.788437,-5.7215419,-3.6919501,53.123741,148.89412
Sacred Heart,1332.7064,74.230202,80.327858,-6.0976558,-4.8782687,48.596512,148.89412
Eastern Michigan,1330.8945,68.038277,73.84037,-5.8020983,-1.7301384,51.457363,148.89412
Long Beach St.,1329.5992,72.44931,78.559052,-6.1097364,-2.7154784,52.704235,148.89412
Tarleton St.,1327.4824,70.66729,76.748619,-6.0813227,-4.6663966,57.557922,148.89412
Chattanooga,1327.2815,73.466591,79.722496,-6.2559114,-6.1278291,73.306618,148.89412
Lindenwood,1322.4695,72.018105,78.364845,-6.3467383,-8.7782393,61.43161,148.89412
Bellarmine,1320.5197,76.372665,83.059799,-6.6871405,-4.7345657,54.623528,148.89412
Bethune-Cookman,1319.2372,71.481552,77.913834,-6.4322844,-7.1072006,44.478634,148.89412
